MSOA21CD,Medianage
E02001260,42
E02001261,35
E02001262,37
E02001263,46
E02001264,38
E02001265,42
E02001266,41
E02001267,43
E02001268,46
E02001269,39
E02001270,39
E02001271,41
E02001272,42
E02001273,40
E02001274,47
E02001275,36
E02001276,39
E02001277,37
E02001278,41
E02001279,43
E02001280,42
E02001281,45
E02001282,37
E02001283,42
E02001284,41
E02001285,47
E02001286,45
E02001287,41
E02001288,45
E02001289,48
E02001290,47
E02001291,40
E02001292,45
E02001293,45
E02001294,39
E02001295,41
E02001296,33
E02001297,41
E02001298,36
E02001299,42
E02001300,42
E02001301,36
E02001302,42
E02001303,36
E02001304,46
E02001305,45
E02001306,47
E02001307,43
E02001308,46
E02001309,41
E02001310,37
E02001311,42
E02001312,37
E02001313,39
E02001314,41
E02001315,40
E02001316,35
E02001317,42
E02001318,45
E02001319,38
E02001320,43
E02001321,44
E02001322,48
E02001323,44
E02001324,41
E02001325,44
E02001326,44
E02001327,33
E02001328,40
E02001329,38
E02001330,38
E02001331,39
E02001332,37
E02001333,38
E02001334,34
E02001335,41
E02001336,36
E02001337,41
E02001338,37
E02001339,39
E02001340,41
E02001341,39
E02001342,47
E02001343,47
E02001344,44
E02001345,47
E02001346,38
E02001347,39
E02001348,41
E02001349,40
E02001350,39
E02001351,37
E02001352,37
E02001353,43
E02001354,38
E02001355,40
E02001356,31
E02001357,37
E02001358,36
E02001359,46
E02001360,36
E02001361,41.5
E02001362,43
E02001363,36
E02001364,35
E02001365,34
E02001366,39
E02001367,45
E02001368,37
E02001369,35
E02001370,36
E02001371,36
E02001372,45
E02001373,38
E02001374,34
E02001375,41
E02001376,27
E02001377,22
E02001378,42
E02001380,43
E02001381,30
E02001382,44
E02001383,25
E02001384,22
E02001385,30
E02001386,43
E02001387,44
E02001388,30
E02001389,33
E02001390,35
E02001391,40
E02001392,48
E02001393,48
E02001394,38
E02001395,42.5
E02001396,36
E02001397,49
E02001398,39
E02001399,45
E02001400,43
E02001401,43
E02001402,44
E02001403,35
E02001404,37
E02001405,34
E02006932,21
E02006933,29
E02006934,27
E02001406,52
E02001407,52
E02001408,49
E02001409,45
E02001410,43
E02001411,46
E02001412,42
E02001413,47
E02001414,49
E02001415,38
E02001416,37
E02001417,40
E02001418,37
E02001419,36
E02001420,38
E02001421,42
E02001422,36
E02001423,48
E02001425,44
E02001426,48
E02001427,39
E02001428,51
E02006935,40
E02006936,37
E02001429,52
E02001430,52
E02001431,58
E02001432,46
E02001433,40
E02001434,42
E02001435,40
E02001436,41
E02001437,57
E02001438,45
E02001439,45
E02001440,57
E02001441,55
E02001442,52
E02001443,51
E02001444,49
E02001445,50
